sell_threshold,buy_threshold,loss_limit_percentage,enable_shorting,rsi_period,ema_short_period,ema_long_period,vma_period,adx_period,bollinger_bands_period,multiplier,rsi_bias,macd_bias,vma_bias,adx_bias,profit,iteration
84.84576799023719,21.29840120117655,12.170966317608318,False,9,9,21,9,9,9,11,0.6604481932497452,-0.2600039420365581,-0.3539264445786763,0.19604626797503988,99691.52708757059,0
75.3676656850725,20.26048495202764,5.326020853003529,False,9,9,21,9,9,9,2,-0.1769788915380459,-0.5029851758075614,0.5343741220053102,0.10694999275884154,113111.1056513835,0
77.91773058166831,35.036632046094596,13.363225980084673,False,9,9,21,9,9,9,7,0.18649266535589604,0.08681557252995198,0.8970306302242166,0.26232450765661675,100359.07486907506,0
83.64659880762349,19.76491308861674,7.206902026558262,False,9,9,21,9,9,9,13,-0.8984930577890116,0.9392571915665453,0.47723274233916424,-0.6643396705075766,100000,0
82.58704462393499,26.682999109995926,10.688871091764408,False,9,9,21,9,9,9,19,-0.19573459340872734,-0.17446110078112298,0.25767225021333795,0.3264927735560521,100000,0
62.207002152863,29.60125657206266,5.5931108177325335,False,9,9,21,9,9,9,27,0.3062212190572384,0.707139439343822,-0.35421937370159395,0.5985045188369009,100000,0
71.61470691950996,22.455470362348656,5.75066891338969,False,9,9,21,9,9,9,10,-0.4785987220230832,0.1459540012871292,0.9715201466626864,0.15256163034791848,100076.8049063545,0
75.40364506524492,25.427970713271556,12.142495802504877,False,9,9,21,9,9,9,3,-0.7642966087674468,-0.3793954270723936,-0.18645496678366014,0.9910206089531177,103279.09822848253,0
68.10235999657951,13.151460400874367,10.460460548458723,False,9,9,21,9,9,9,5,-0.5004943295135977,0.44055802468372307,-0.19827141598074927,0.34520096478845863,98310.9303616972,0
69.4137194890989,19.445554110807233,13.434261537210144,False,9,9,21,9,9,9,3,0.41077475967215227,-0.8780734048243062,-0.051955215957746326,0.20997758521319754,103112.52088198197,0
71.61470691950996,22.455470362348656,5.995789989141227,False,9,9,21,9,14,9,10,-0.4785987220230832,-0.5072427871155987,0.9715201466626864,0.15256163034791848,100076.8049063545,1
69.4137194890989,35.036632046094596,15.8620308701492,False,9,9,21,9,14,9,7,0.18649266535589604,0.08681557252995198,1.0697255379513426,0.26232450765661675,100099.28316391373,1
75.40364506524492,22.455470362348656,12.142495802504877,False,9,9,21,9,14,9,10,-0.7642966087674468,0.1459540012871292,-0.18645496678366014,0.9910206089531177,100076.8049063545,1
75.40364506524492,20.782632621716896,15.47345324958436,False,9,9,21,9,14,9,3,-0.6569532839064338,-0.3793954270723936,-0.18645496678366014,1.051690478220466,103279.09822848253,1
77.91773058166831,20.26048495202764,13.363225980084673,False,9,9,21,9,14,9,2,-0.1769788915380459,-0.5029851758075614,0.8970306302242166,0.10694999275884154,114326.10051404727,1
71.61470691950996,22.455470362348656,5.75066891338969,False,9,9,21,9,14,9,10,0.18649266535589604,0.1459540012871292,1.1748165647979014,0.12298206651115628,100076.8049063545,1
80.90873854103498,19.445554110807233,5.75066891338969,False,9,9,21,9,14,9,3,0.3845685136207047,0.12830201722637502,-0.051955215957746326,0.23954996501141282,103279.09822848253,1
57.99201873982079,19.445554110807233,13.434261537210144,False,9,9,21,9,14,9,2,0.41077475967215227,-0.8780734048243062,-0.051955215957746326,0.20997758521319754,113113.00687417292,1
71.61470691950996,22.98685331758555,5.75066891338969,False,9,9,21,9,14,9,10,-0.19509770556197392,0.1459540012871292,0.9715201466626864,0.10694999275884154,100076.8049063545,1
71.61470691950996,22.455470362348656,13.521338379172573,False,9,9,21,9,14,9,10,-0.6398182334316254,-0.3793954270723936,0.9715201466626864,0.9910206089531177,100076.8049063545,1
69.4137194890989,35.036632046094596,15.47345324958436,False,9,9,21,9,14,9,7,0.18649266535589604,0.08681557252995198,-0.18645496678366014,0.251712282290592,100099.28316391373,2
75.40364506524492,20.782632621716896,13.434261537210144,False,9,9,21,9,14,9,2,0.41077475967215227,-0.3793954270723936,-0.051955215957746326,1.051690478220466,113111.1056513835,2
54.90202116701625,35.036632046094596,13.434261537210144,False,9,9,21,9,14,9,2,0.18649266535589604,0.0706406986795155,1.1722845068697236,0.20997758521319754,111028.10889881416,2
52.986332297977974,35.41879492062402,15.47345324958436,False,9,9,21,9,14,9,3,0.18649266535589604,-0.3793954270723936,-0.16692901378434086,0.26047273339057664,89017.83618471635,2
77.91773058166831,20.26048495202764,13.363225980084673,False,9,9,21,9,14,9,2,-0.1769788915380459,-0.5029851758075614,0.8970306302242166,0.10694999275884154,114326.10051404727,2
77.91773058166831,22.929691725162854,5.75066891338969,False,9,9,21,9,14,9,2,0.3657449688106278,-0.5029851758075614,-0.051955215957746326,0.23954996501141282,114326.10051404727,2
63.57206430551076,35.036632046094596,13.363225980084673,False,9,9,21,9,14,9,1,0.18649266535589604,-0.5029851758075614,0.8970306302242166,0.10694999275884154,95668.17580690244,2
57.99201873982079,19.445554110807233,16.179660597486762,False,9,9,21,9,14,9,2,-0.6569532839064338,-0.3793954270723936,-0.051955215957746326,0.20997758521319754,113113.00687417292,2
75.40364506524492,24.954538279350118,14.657624754296263,False,9,9,21,9,14,9,2,-0.1769788915380459,-0.3793954270723936,-0.18645496678366014,0.08982019495342758,113111.1056513835,2
66.76501131709628,35.036632046094596,15.8620308701492,False,9,9,21,9,14,9,2,0.18649266535589604,-0.8780734048243062,-0.051955215957746326,0.26232450765661675,111656.94861693913,2
